id,title,overview,release_date,popularity,vote_average,vote_count,genre_ids,genres
504,Monster,"In 1989, prostitute Aileen Wuornos befriends and enters a relationship with a young woman named Selby. Determined to straighten out her life, Aileen's limited education lands her back on the corner. She's raped by a trick, who she kills. A string of murder and robbery follows that ultimately leads Aileen to becoming America's first female serial killer.",2003-12-24,7.3404,7.211,2465,"[80, 18]",Crime|Drama
15250,This Christmas,"This year Christmas with the Whitfields promises to be one they will never forget. All the siblings have come home for the first time in years and they've brought plenty of baggage with them. As the Christmas tree is trimmed and the lights are hung, secrets are revealed and family bonds are tested. As their lives converge, they join together and help each other discover the true meaning of family.",2007-11-27,8.0943,6.55,139,"[35, 18, 10749]",Comedy|Drama|Romance
79,Hero,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",2002-07-22,7.1575,7.503,2403,"[18, 12, 28, 36]",Drama|Adventure|Action|History
140300,Kung Fu Panda 3,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back.",2016-01-23,7.4794,6.921,6392,"[16, 28, 12, 35, 10751]",Animation|Action|Adventure|Comedy|Family
177677,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",2015-07-28,7.6998,7.22,9436,"[28, 12]",Action|Adventure
246403,Tusk,"When his best friend and podcast co-host goes missing in the backwoods of Canada, a young guy joins forces with his friend's girlfriend to search for him.",2014-09-19,7.5046,5.514,1543,"[35, 27]",Comedy|Horror
955555,The Roundup: No Way Out,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",2023-05-31,7.6106,7.211,512,"[28, 80, 35, 53]",Action|Crime|Comedy|Thriller
630392,The Cursed,"In the late 19th century, a brutal land baron slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, the baron's son goes missing, and a boy is found murdered. The locals suspect a wild animal, but a visiting pathologist warns of a more sinister presence lurking in the woods.",2021-07-28,7.482,6.595,389,"[27, 18, 53]",Horror|Drama|Thriller
457,Sissi,"The young Bavarian princess Elisabeth, who all call Sissi, goes with her mother and older sister Néné to Austria where Néné will be wed to an emperor named Franz Joseph, Yet unexpectedly Franz runs into Sissi while out fishing and they fall in love.",1955-12-22,8.0266,7.305,506,"[35, 18, 10749]",Comedy|Drama|Romance
752623,The Lost City,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",2022-03-23,6.3175,6.5,3861,"[28, 12, 35]",Action|Adventure|Comedy
414419,Kill Bill: The Whole Bloody Affair,"A former assassin—known only as The Bride—wakes up from a coma after her former boss and lover, Bill, shoots her in the head and steals her unborn child during her wedding rehearsal. She soon embarks on a bloody quest for revenge, hunting down her ex-colleagues of the Deadly Viper Assassination Squad before confronting Bill himself. Quentin Tarantino’s complete Kill Bill, a combination of Volumes 1 and 2, previously deleted scenes, alternate takes, a full-color remaster of the Crazy 88 fight, a 7-minute anime sequence by Production I.G., and a built-in intermission.",2011-03-27,7.3863,8.0,1123,"[28, 80]",Action|Crime
316029,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",2017-12-20,8.1661,7.868,9839,[18],Drama
19908,Zombieland,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",2009-10-02,7.1837,7.259,12841,"[35, 27]",Comedy|Horror
11362,The Count of Monte Cristo,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",2002-01-23,6.8684,7.672,1937,"[12, 18, 36, 28, 53]",Adventure|Drama|History|Action|Thriller
37265,All Ladies Do It,"After five years of marriage, Diana discovers the joys of adultery, claiming that she can save her failing relationship through betrayal.",1992-02-21,7.6356,5.016,408,"[35, 18]",Comedy|Drama
524434,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021-11-03,7.087,6.8,8873,"[878, 28, 12]",Science Fiction|Action|Adventure
14695,Havoc,"A wealthy Los Angeles teen and her superficial friends wants to break out of suburbia and experience Southern California's ""gangsta"" lifestyle. But problems arise when the preppies get in over their heads and provoke the wrath of a violent Latino gang. Suddenly, their role-playing seems a little too real.",2005-10-16,7.0505,5.255,337,"[80, 18]",Crime|Drama
1037113,Snack Shack,"Inseparable best friends AJ and Moose decide to run the local pool's snack shack after their plan to sell home-brewed beer goes down the drain. Things take a turn when they meet Brooke, an effortlessly cool lifeguard who puts their big plans, and friendship, at risk.",2024-03-15,7.7659,7.169,201,[35],Comedy
276902,Cut Bank,"25-year-old Dwayne McLaren, a former athlete turned auto mechanic, dreams of getting out of tiny Cut Bank, Montana the coldest town in America. But his effort to do so sets in motion a deadly series of events that change his life and the life of the town forever...",2014-10-04,7.762,5.8,342,"[80, 18, 9648, 53]",Crime|Drama|Mystery|Thriller
10551,Family Business,"Jessie is an aging career criminal who has been in more jails, fights, schemes, and lineups than just about anyone else. His son Vito, while currently on the straight and narrow, has had a fairly shady past and is indeed no stranger to illegal activity. They both have great hope for Adam, Vito's son and Jessie's grandson, who is bright, good-looking, and without a criminal past.",1989-12-06,7.3333,5.684,267,"[80, 18, 35]",Crime|Drama|Comedy
1136394,An Ordinary Case,"Jean Monier is a disillusioned lawyer, appointed to defend Nicolas Milik, a man accused of murdering his wife. While everything points to his guilt, Monier takes up the case, convinced of his innocence.",2024-09-11,7.3537,6.488,164,"[18, 80]",Drama|Crime
311324,The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,2016-12-16,7.3551,6.032,5413,"[28, 12, 14]",Action|Adventure|Fantasy
2251,Unfaithful,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.",2002-05-10,7.6701,6.675,1642,"[53, 18, 10749]",Thriller|Drama|Romance
9281,Witness,"While protecting an Amish boy – the sole witness to a brutal murder – and his mother, a detective is forced to seek refuge within their community when his own life comes under threat.",1985-02-08,7.1073,7.094,1809,"[80, 18, 10749, 53]",Crime|Drama|Romance|Thriller
1995,Lara Croft: Tomb Raider,"Orphaned heiress, English aristocrat and intrepid archaeologist, Lara Croft, embarks on a dangerous quest to retrieve the two halves of an ancient artifact which controls time before it falls into the wrong hands. As an extremely rare planetary alignment is about to occur for the first time in 5,000 years, the fearless tomb raider will have to team up with rival adventurers and sworn enemies to collect the pieces, while time is running out. But, in the end, who can harness the archaic talisman's unlimited power?",2001-06-15,7.2475,5.909,6358,"[12, 28, 14]",Adventure|Action|Fantasy
300668,Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",2018-02-22,7.288,6.435,9120,"[878, 27]",Science Fiction|Horror
297802,Aquaman,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",2018-12-07,7.1723,6.87,14634,"[28, 12, 14]",Action|Adventure|Fantasy
10537,The Doors,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",1991-03-01,6.9445,7.108,1540,"[10402, 18, 36]",Music|Drama|History
4564,Sex and the City,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,2008-05-12,6.6437,6.567,2217,"[35, 18, 10749]",Comedy|Drama|Romance
142,Brokeback Mountain,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",2005-10-22,7.3336,7.786,7366,"[18, 10749]",Drama|Romance
115442,The Wall,"A woman inexplicably finds herself cut off from all human contact when an invisible, unyielding wall suddenly surrounds the countryside. Accompanied by her loyal dog Lynx, she becomes immersed in a world untouched by civilization and ruled by the laws of nature.",2012-10-05,6.4299,6.4,138,"[878, 18]",Science Fiction|Drama
10665,The Strangers,"After a 4 a.m. knock at the door and haunting voices, Kristen McKay and James Hoyt’s remote getaway becomes a psychological night of terror as three masked strangers invade. Now they must go far beyond what they thought themselves capable of if they hope to survive.",2008-05-29,6.2503,6.129,2588,"[27, 53]",Horror|Thriller
2899,Asterix & Obelix: Mission Cleopatra,History's favorite Gauls assist Queen Cleopatra when she wagers that the Egyptian people can build a palace for Julius Caesar in just three months.,2002-01-30,7.262,7.374,3700,"[10751, 14, 35, 12]",Family|Fantasy|Comedy|Adventure
28032,Thumbelina,"Born of a flower and growing to only a couple of inches tall, poor Thumbelina is worried she'll never meet someone her own size, until she happens to catch the eye of Prince Cornelius of the Fairies. Just as soon as she finds love, however, it's torn away when she's kidnapped by Ms. Toad. Now Thumbelina has to escape Ms. Toad's grasp and search for Prince Cornelius. Luckily, there's a whole city of animals willing to help.",1994-03-30,8.4476,6.433,527,"[16, 14, 10749, 10402, 10751]",Animation|Fantasy|Romance|Music|Family
1082195,The Order,A string of violent robberies in the Pacific Northwest leads veteran FBI agent Terry Husk into a white supremacist plot to overthrow the federal government.,2024-12-05,7.5779,6.587,779,"[80, 18, 53]",Crime|Drama|Thriller
